features,coef
AA1538,0.007095986771656398
AA1539,-0.005558437696764511
AA1540,-0.0
AA1541,-0.0
AA1545,0.0
AA1546,0.0
AA1547,-0.0
AA1548,0.0
AA1549,0.0
AA1550,0.001852725711114276
AA1551,0.003796108302783097
AA1552,0.018477144402639357
AA1553,0.009219905431539862
AA1554,-0.0
AA1555,-0.0
AA1556,0.0
AA1557,-0.006572381207263842
AA1558,0.011988541584274709
AA1559,-5.4609946350920166e-05
AA1560,0.024235032983533085
AA1561,0.0
AA1562,0.0
AA1563,0.0069681794700432505
AA1564,-0.009137489391122869
AA1565,-0.0
AA1566,-4.2161823983293775e-06
AA1567,-0.0
AA1568,-0.0
AA1569,-0.00021775793207961508
AA1570,-0.002472192217530942
AA1571,-0.0
AA1572,-0.0003373826992555588
AA1573,0.0
AA1574,0.0
AA1575,-0.0
AA1576,0.0
AA1577,0.002928486105308579
AA1578,-0.0
AA1579,-0.0
CC909,-0.0
CC910,0.0
CC911,0.005109139532107869
CC912,0.0
CC913,0.0
CC914,0.0
CC915,-0.0
CC917,0.019838490082440922
CC918,0.004222847562281322
CC919,-0.0
CC920,-0.0
CC921,0.0
CC922,0.0
CC923,-0.0030608338052315874
CC924,0.0
CC925,-0.0034773436000356817
CC926,-0.011304159967646173
CC927,-0.004236981696077449
CC928,0.0
CC929,-0.0
CC935,0.0
CC936,-0.0
CC937,-0.0
CC940,-0.0018730606209972534
CC941,0.0
CC942,-0.0
CC943,0.0010860328308754036
CC944,0.0
CC945,0.009356719436527211
CC946,0.0004708040943898787
CC948,0.003675368447262789
CC949,-0.0
CC950,5.857093120241461e-05
CC951,0.004226350646442173
CC952,0.0
CC953,0.0
CC954,0.003344464897954557
CC956,0.0
CC957,-0.0
CC958,-0.0
CC959,0.0025183317259551523
CC960,0.0
CC961,-0.016223092969060132
CC962,0.023178911931139575
CC964,0.00022105804534253176
CC965,0.0036057415725450916
CC966,0.0
CC967,0.0
CC968,0.0
CC969,-0.0
CC970,-0.0016567536650742222
CC1067,-0.0
CC1068,-0.0
CC1069,-0.0
CC1070,-0.0
CC1071,0.005826863424268595
CC1072,0.011213242815153375
CC1073,0.002322701798654322
CC1074,-0.0
CC1156,-0.0
CC1157,0.0
CC1158,-0.0
CC1159,-0.002023065486777911
CC1160,-0.0
CC1161,0.0
CC1162,0.01324175283197885
CC1163,-0.0
CC1164,-0.0
CC1165,-0.0
CC1166,0.0
CC1167,0.018261402288498065
CC1168,-0.004001292680243911
CC1169,0.002628704602991258
CC1170,0.009523656068959085
CC1171,0.021131467375742147
CC1172,0.0
CC1173,-0.002982053631602176
CC1174,-0.0
CC1175,0.0
CC1176,-0.0
CC1177,0.0
CC1178,-0.003856873468190293
CC1179,0.0
CC1180,-0.0
CC1181,-0.0
CC1192,-0.002434998268286588
CC1193,-0.0
CC1194,-0.0
CC1195,0.0
CC1196,0.0
CC1197,-0.0
CC1198,0.0043683081817632195
CC1199,-0.0
CC1200,-0.0007761107207876804
CC1201,0.0
CC1202,0.0
CC1203,-0.0
CC1204,-0.0
CC1205,0.00037507677951937186
CC1206,0.00550624452315195
CC1207,0.0
CC1208,-0.0
CC1209,-0.0
CC1210,0.0
CC1211,-0.0
CC1212,-0.0
CC1213,-0.00043724007579460934
CC1214,-0.0
CC1215,-0.0
CC1216,0.00625463204194834
CC1217,0.0
CC1218,0.0
CC1219,0.0
CC1220,-0.002188120758175442
CC1224,-0.0
CC1225,-0.0
CC1226,-0.0
CC1227,0.0
CC1228,-0.0
CC1229,0.0
CC1230,-0.0
CC1231,-3.02932324113916e-05
CC1232,-0.0
CC1233,-0.0
CC1234,-0.0
CC1235,0.006163714409085754
CC1236,0.0
CC1237,0.0
CC1238,0.0
CC1239,0.0
CC1240,0.0002494739339680432
CC1241,-0.00026110058239782826
CC1242,0.0
CC1243,0.0
CC1244,0.0
CC1245,0.0
CC1246,0.0028911571304914307
CC1247,0.013858056741305826
CC1248,0.001991147262817915
CC1250,-0.002149387583359282
CC1251,-0.0
CC1252,-0.0016849341607289151
CC1253,-0.0029588202766193876
CC1254,-0.0
CC1255,-0.0
CC1256,-0.0
CC1257,-0.0
CC1258,-0.0
CC1259,0.0
CC1260,-0.0
CC1261,-0.0
CC1262,-0.004684191894739729
CC1263,0.0
CC1264,-0.0
CC1265,0.0
CC1266,0.003432470667572139
