,features,coef
79,AA1139,0.008860558431361923
80,AA1140,0.00394906462321255
81,AA1141,0.010374111572711293
82,AA1142,0.0024066614825508886
83,AA1143,0.0069731022705734605
84,AA1144,-0.0014828311216228444
85,AA1145,0.008467268545993764
86,AA1146,-0.002497723020414653
87,AA1147,0.009260470810822838
88,AA1148,0.009072576173905268
89,AA1149,0.009219132855949398
90,AA1150,0.009445795104131294
91,AA1151,-0.0048672665942285625
92,AA1152,4.422417215486484e-05
93,AA1153,-0.003971930176761819
94,AA1157,0.003329185602539339
95,AA1159,0.007565816034737386
96,AA1160,-0.01441788887123183
97,AA1166,-0.0035462186126335934
98,AA1167,-0.006681291607277824
99,AA1172,0.0016591638407118781
100,AA1173,-0.002973748202398791
101,AA1174,-0.020266661690588664
102,AA1175,-0.0017617797075138429
103,AA1176,0.006167273803088041
104,AA1177,-0.000820012756786256
105,AA1178,0.007823715971869708
106,AA1179,-0.0020707689480912303
107,AA1180,0.006785203439688827
108,AA1181,0.004637123494797848
109,AA1182,0.019847284239784657
110,AA1183,-0.007417304479858133
111,AA1184,0.014369606480049863
112,AA1185,0.01745207979965851
113,AA1186,0.014797217007503857
114,AA1187,0.003947436164111875
115,AA1188,0.007019334163736651
116,AA1189,0.0076429280878845245
117,AA1190,-0.004288371538050326
118,AA1191,0.0014105411470840081
119,AA1192,0.005544273716269863
120,AA1193,0.0035405990811649573
121,AA1194,0.010047080769403704
122,AA1293,0.011350826452129776
123,AA1294,0.006921287858791182
124,AA1295,-0.0015427130500639125
125,AA1296,0.002457795948035347
126,AA1297,0.0058175811990958054
127,AA1298,-0.013150916119358005
128,AA1300,0.00930885419712834
129,AA1301,4.109073504601768e-05
130,AA1302,-0.006625363567767476
131,AA1303,-0.005794531323172741
132,AA1304,0.009356782205481006
133,AA1305,0.0005210154825957426
134,AA1309,-0.00134488512937824
135,AA1315,-0.0006248307419058274
136,AA1316,0.015552636766321279
137,AA1317,0.006310807613040509
138,AA1318,0.006827674877830241
139,AA1319,0.006725702292901438
140,AA1320,0.0051289224837154646
141,AA1321,0.011579175424959601
142,AA1322,0.00614085315178335
143,AA1323,0.009504922660327002
144,AA1324,0.010711175824914685
145,AA1325,-0.005656192867092631
146,AA1326,0.002730575724222282
147,AA1327,-0.0032500320691800943
148,AA1328,0.0006473112148475436
149,AA1452,-0.024810635432497643
150,AA1453,0.004037028602347154
151,AA1454,0.0039062000040758146
152,AA1455,0.0032766416737186428
153,AA1456,-0.0002095159264394646
154,AA1457,-0.005896975457455544
155,AA1458,-0.0010012974439464143
156,AA1459,0.005888588985094721
157,AA1460,-0.0005384870738457783
158,AA1461,0.006881664280835569
159,AA1462,-0.01441951541310512
160,AA1463,0.0033378844003373372
161,AA1464,0.009254154384223421
162,AA1465,-0.0034586504239303836
163,AA1466,0.0025092449181291377
164,AA1467,-0.0010205839541397926
165,AA1468,8.831343788213725e-05
166,AA1469,0.016693227973727492
167,AA1470,0.0050820428879185375
168,AA1471,0.008912132904437533
